date;date_id;case_obs_f;hosp_obs_f;case_obs_ra_f;hosp_obs_ra_f
16-2-2020;47;;;;
17-2-2020;48;;;;
18-2-2020;49;;;;
19-2-2020;50;;;;
20-2-2020;51;;;;
21-2-2020;52;;;;
22-2-2020;53;;;;
23-2-2020;54;;;;
24-2-2020;55;;;;
25-2-2020;56;;;;
26-2-2020;57;;;;
27-2-2020;58;;;;
28-2-2020;59;;;;
29-2-2020;60;;;;
1-3-2020;61;;5;;
2-3-2020;62;;5;;
3-3-2020;63;;5;;
4-3-2020;64;;6;;
5-3-2020;65;;6;;
6-3-2020;66;;17;;6.429
7-3-2020;67;;9;;7.571
8-3-2020;68;;21;;9.857
9-3-2020;69;;30;;13.429
10-3-2020;70;;37;;18
11-3-2020;71;;35;;22.143
12-3-2020;72;;73;;31.714
13-3-2020;73;;85;;41.429
14-3-2020;74;;78;;51.286
15-3-2020;75;;118;;65.143
16-3-2020;76;;184;;87.143
17-3-2020;77;;199;;110.286
18-3-2020;78;;258;;142.143
19-3-2020;79;;393;;187.857
20-3-2020;80;;356;;226.571
21-3-2020;81;;286;;256.286
22-3-2020;82;;334;;287.143
23-3-2020;83;;631;;351
24-3-2020;84;;581;;405.571
25-3-2020;85;;576;;451
26-3-2020;86;;566;;475.714
27-3-2020;87;;686;;522.857
28-3-2020;88;;390;;537.714
29-3-2020;89;;335;;537.857
30-3-2020;90;;588;;531.714
31-3-2020;91;;407;;506.857
1-4-2020;92;;407;;482.714
2-4-2020;93;;439;;464.571
3-4-2020;94;;443;;429.857
4-4-2020;95;;207;;403.714
5-4-2020;96;;272;;394.714
6-4-2020;97;;400;;367.857
7-4-2020;98;;252;;345.714
8-4-2020;99;;260;;324.714
9-4-2020;100;;231;;295
10-4-2020;101;;243;;266.429
11-4-2020;102;;158;;259.429
12-4-2020;103;;163;;243.857
13-4-2020;104;;192;;214.143
14-4-2020;105;;191;;205.429
15-4-2020;106;;143;;188.714
16-4-2020;107;;142;;176
17-4-2020;108;;149;;162.571
18-4-2020;109;;94;;153.429
19-4-2020;110;;88;;142.714
20-4-2020;111;;117;;132
